127.0.0.1 - - [15/Apr/2023:17:50:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Apr/2023:17:50:25 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [15/Apr/2023:17:50:25 +0530] "GET /SocialNetworkingProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2023:17:50:25 +0530] "GET /SocialNetworkingProject/images/social_network.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2023:17:51:46 +0530] "GET /SocialNetworkingProject/index.html HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:07:56 +0530] "GET /SocialNetworkingProject/index.html HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:14:31 +0530] "GET /SocialNetworkingProject/index.html HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:14:37 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5012
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:14:40 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5012
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:14:41 +0530] "GET /SocialNetworkingProject/index.jsp HTTP/1.1" 200 5012
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:14:56 +0530] "POST /SocialNetworkingProject/Login HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:15:04 +0530] "POST /SocialNetworkingProject/Login HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:10 +0530] "GET /SocialNetworkingProject/home.jsp HTTP/1.1" 200 6945
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:11 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:11 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:11 +0530] "GET /SocialNetworkingProject/images/house.jpg HTTP/1.1" 200 41077
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:20 +0530] "GET /SocialNetworkingProject/profile.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:25 +0530] "GET /SocialNetworkingProject/home.jsp HTTP/1.1" 200 6945
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:25 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:25 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:26 +0530] "GET /SocialNetworkingProject/home.jsp HTTP/1.1" 200 6945
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:26 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:26 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:27 +0530] "GET /SocialNetworkingProject/home.jsp HTTP/1.1" 200 6945
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:27 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:28 +0530] "GET /SocialNetworkingProject/home.jsp HTTP/1.1" 200 6945
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:28 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:29 +0530] "GET /SocialNetworkingProject/home.jsp HTTP/1.1" 200 6945
0:0:0:0:0:0:0:1 - - [15/Apr/2023:18:23:29 +0530] "GET /SocialNetworkingProject/images/profile_pic.png HTTP/1.1" 404 805
